date,maxtemp_c,mintemp_c,avgtemp_c,city,area,country,lat,lon,weekday,day_num,month_num,week,month,year,alpha-3,region_y
2023-01-17,5.1,1.9,3.2,Paris,Ile-de-France,France,48.87,2.33,tuesday  ,17.0,1.0,3.0,january  ,3ear,FRA,Europe
2023-01-18,6.3,-1.4,1.9,Paris,Ile-de-France,France,48.87,2.33,wednesday,18.0,1.0,3.0,january  ,3ear,FRA,Europe
2023-01-19,5.6,-0.6,2.1,Paris,Ile-de-France,France,48.87,2.33,thursday ,19.0,1.0,3.0,january  ,3ear,FRA,Europe
2023-01-20,6.0,0.1,2.5,Paris,Ile-de-France,France,48.87,2.33,friday   ,20.0,1.0,3.0,january  ,3ear,FRA,Europe
2023-01-21,5.2,0.3,2.0,Paris,Ile-de-France,France,48.87,2.33,saturday ,21.0,1.0,3.0,january  ,3ear,FRA,Europe
2023-01-22,4.0,-0.9,1.1,Paris,Ile-de-France,France,48.87,2.33,sunday   ,22.0,1.0,4.0,january  ,3ear,FRA,Europe
2023-01-23,3.5,0.6,2.1,Paris,Ile-de-France,France,48.87,2.33,monday   ,23.0,1.0,4.0,january  ,3ear,FRA,Europe
2023-01-24,5.1,-0.6,1.9,Paris,Ile-de-France,France,48.87,2.33,tuesday  ,24.0,1.0,4.0,january  ,3ear,FRA,Europe
2023-01-25,5.4,-0.2,2.0,Paris,Ile-de-France,France,48.87,2.33,wednesday,25.0,1.0,4.0,january  ,3ear,FRA,Europe
2023-01-26,4.4,1.0,3.1,Paris,Ile-de-France,France,48.87,2.33,thursday ,26.0,1.0,4.0,january  ,3ear,FRA,Europe
2023-01-27,4.3,1.8,3.0,Paris,Ile-de-France,France,48.87,2.33,friday   ,27.0,1.0,4.0,january  ,3ear,FRA,Europe
2023-01-28,4.9,0.0,2.2,Paris,Ile-de-France,France,48.87,2.33,saturday ,28.0,1.0,4.0,january  ,3ear,FRA,Europe
2023-01-29,6.3,-1.2,2.7,Paris,Ile-de-France,France,48.87,2.33,sunday   ,29.0,1.0,5.0,january  ,3ear,FRA,Europe
2023-01-30,8.6,3.1,6.1,Paris,Ile-de-France,France,48.87,2.33,monday   ,30.0,1.0,5.0,january  ,3ear,FRA,Europe
2023-01-31,7.6,1.3,4.6,Paris,Ile-de-France,France,48.87,2.33,tuesday  ,31.0,1.0,5.0,january  ,3ear,FRA,Europe
2023-02-01,9.0,6.1,7.3,Paris,Ile-de-France,France,48.87,2.33,wednesday,1.0,2.0,5.0,february ,3ear,FRA,Europe
2023-02-02,10.1,4.8,7.2,Paris,Ile-de-France,France,48.87,2.33,thursday ,2.0,2.0,5.0,february ,3ear,FRA,Europe
2023-02-03,12.4,7.3,9.3,Paris,Ile-de-France,France,48.87,2.33,friday   ,3.0,2.0,5.0,february ,3ear,FRA,Europe
2023-02-04,11.8,5.6,8.0,Paris,Ile-de-France,France,48.87,2.33,saturday ,4.0,2.0,5.0,february ,3ear,FRA,Europe
2023-02-05,9.6,4.3,6.7,Paris,Ile-de-France,France,48.87,2.33,sunday   ,5.0,2.0,6.0,february ,3ear,FRA,Europe
2023-02-06,6.9,1.7,4.1,Paris,Ile-de-France,France,48.87,2.33,monday   ,6.0,2.0,6.0,february ,3ear,FRA,Europe
2023-02-07,6.9,0.3,3.0,Paris,Ile-de-France,France,48.87,2.33,tuesday  ,7.0,2.0,6.0,february ,3ear,FRA,Europe
2023-02-08,6.6,-1.7,1.3,Paris,Ile-de-France,France,48.87,2.33,wednesday,8.0,2.0,6.0,february ,3ear,FRA,Europe
2023-02-09,6.6,-2.3,1.5,Paris,Ile-de-France,France,48.87,2.33,thursday ,9.0,2.0,6.0,february ,3ear,FRA,Europe
2023-02-10,10.1,1.5,5.2,Paris,Ile-de-France,France,48.87,2.33,friday   ,10.0,2.0,6.0,february ,3ear,FRA,Europe
2023-02-11,8.6,1.9,5.3,Paris,Ile-de-France,France,48.87,2.33,saturday ,11.0,2.0,6.0,february ,3ear,FRA,Europe
2023-02-12,11.7,3.7,7.0,Paris,Ile-de-France,France,48.87,2.33,sunday   ,12.0,2.0,7.0,february ,3ear,FRA,Europe
2023-02-13,12.4,1.4,6.0,Paris,Ile-de-France,France,48.87,2.33,monday   ,13.0,2.0,7.0,february ,3ear,FRA,Europe
2023-02-14,14.6,1.5,6.8,Paris,Ile-de-France,France,48.87,2.33,tuesday  ,14.0,2.0,7.0,february ,3ear,FRA,Europe
2023-02-15,12.9,1.7,6.3,Paris,Ile-de-France,France,48.87,2.33,wednesday,15.0,2.0,7.0,february ,3ear,FRA,Europe
2023-02-16,11.8,4.5,8.2,Paris,Ile-de-France,France,48.87,2.33,thursday ,16.0,2.0,7.0,february ,3ear,FRA,Europe
2023-02-17,13.2,9.3,11.1,Paris,Ile-de-France,France,48.87,2.33,friday   ,17.0,2.0,7.0,february ,3ear,FRA,Europe
2023-02-18,12.3,9.2,10.7,Paris,Ile-de-France,France,48.87,2.33,saturday ,18.0,2.0,7.0,february ,3ear,FRA,Europe
2023-02-19,13.2,6.6,10.6,Paris,Ile-de-France,France,48.87,2.33,sunday   ,19.0,2.0,8.0,february ,3ear,FRA,Europe
2023-02-20,12.8,4.0,7.8,Paris,Ile-de-France,France,48.87,2.33,monday   ,20.0,2.0,8.0,february ,3ear,FRA,Europe
2023-02-21,15.2,3.6,8.5,Paris,Ile-de-France,France,48.87,2.33,tuesday  ,21.0,2.0,8.0,february ,3ear,FRA,Europe
